locs,techs,timesteps,required_resource
NL11,curtailment,2015-03-01 00:00:00,-300000.0
NL11,curtailment,2015-03-01 03:00:00,-300000.0
NL11,curtailment,2015-03-01 06:00:00,-300000.0
NL11,curtailment,2015-03-01 09:00:00,-300000.0
NL11,curtailment,2015-03-01 12:00:00,-300000.0
NL11,curtailment,2015-03-01 15:00:00,-300000.0
NL11,curtailment,2015-03-01 18:00:00,-300000.0
NL11,curtailment,2015-03-01 21:00:00,-300000.0
NL11,curtailment,2015-03-02 00:00:00,-300000.0
NL11,curtailment,2015-03-02 03:00:00,-300000.0
NL11,curtailment,2015-03-02 06:00:00,-300000.0
NL11,curtailment,2015-03-02 09:00:00,-300000.0
NL11,curtailment,2015-03-02 12:00:00,-300000.0
NL11,curtailment,2015-03-02 15:00:00,-300000.0
NL11,curtailment,2015-03-02 18:00:00,-300000.0
NL11,curtailment,2015-03-02 21:00:00,-300000.0
NL11,curtailment,2015-03-03 00:00:00,-300000.0
NL11,curtailment,2015-03-03 03:00:00,-300000.0
NL11,curtailment,2015-03-03 06:00:00,-300000.0
NL11,curtailment,2015-03-03 09:00:00,-300000.0
NL11,curtailment,2015-03-03 12:00:00,-300000.0
NL11,curtailment,2015-03-03 15:00:00,-300000.0
NL11,curtailment,2015-03-03 18:00:00,-300000.0
NL11,curtailment,2015-03-03 21:00:00,-300000.0
NL11,curtailment,2015-03-04 00:00:00,-300000.0
NL11,curtailment,2015-03-04 03:00:00,-300000.0
NL11,curtailment,2015-03-04 06:00:00,-300000.0
NL11,curtailment,2015-03-04 09:00:00,-300000.0
NL11,curtailment,2015-03-04 12:00:00,-300000.0
NL11,curtailment,2015-03-04 15:00:00,-300000.0
NL11,curtailment,2015-03-04 18:00:00,-300000.0
NL11,curtailment,2015-03-04 21:00:00,-300000.0
NL11,curtailment,2015-03-05 00:00:00,-300000.0
NL11,curtailment,2015-03-05 03:00:00,-300000.0
NL11,curtailment,2015-03-05 06:00:00,-300000.0
NL11,curtailment,2015-03-05 09:00:00,-300000.0
NL11,curtailment,2015-03-05 12:00:00,-300000.0
NL11,curtailment,2015-03-05 15:00:00,-300000.0
NL11,curtailment,2015-03-05 18:00:00,-300000.0
NL11,curtailment,2015-03-05 21:00:00,-300000.0
NL11,curtailment,2015-03-06 00:00:00,-300000.0
NL11,curtailment,2015-03-06 03:00:00,-300000.0
NL11,curtailment,2015-03-06 06:00:00,-300000.0
NL11,curtailment,2015-03-06 09:00:00,-300000.0
NL11,curtailment,2015-03-06 12:00:00,-300000.0
NL11,curtailment,2015-03-06 15:00:00,-300000.0
