carriers,locs,timesteps,system_balance
electricity,NL11,2015-03-11 18:00:00,-2.5000000050567905e-05
electricity,NL11,2015-03-11 21:00:00,1.3000000080864993e-05
electricity,NL11,2015-03-12 00:00:00,-7.999999979801942e-06
electricity,NL11,2015-03-12 03:00:00,-9.999999974752427e-07
electricity,NL11,2015-03-12 06:00:00,-3.0800000104136416e-05
electricity,NL11,2015-03-12 09:00:00,8.500000012645614e-05
electricity,NL11,2015-03-12 12:00:00,-9.99999883788405e-07
electricity,NL11,2015-03-12 15:00:00,5.300000020724838e-05
electricity,NL11,2015-03-12 18:00:00,0.0
electricity,NL11,2015-03-12 21:00:00,1.9999999949504854e-05
electricity,NL11,2015-03-13 00:00:00,0.0
electricity,NL11,2015-03-13 03:00:00,0.0
electricity,NL11,2015-03-13 06:00:00,1.7000000070765964e-05
electricity,NL11,2015-03-13 09:00:00,3.700000024764449e-05
electricity,NL11,2015-03-13 12:00:00,3.999999989900971e-06
electricity,NL11,2015-03-13 15:00:00,-4.7900000026857015e-05
electricity,NL11,2015-03-13 18:00:00,5.000000010113581e-05
electricity,NL11,2015-03-13 21:00:00,-4.9999999873762135e-05
electricity,NL11,2015-03-14 00:00:00,0.0
electricity,NL11,2015-03-14 03:00:00,9.999999974752427e-06
electricity,NL11,2015-03-14 06:00:00,-3.5999998999614036e-06
electricity,NL11,2015-03-14 09:00:00,-2.9300000051080133e-05
electricity,NL11,2015-03-14 12:00:00,-1.3000000080864993e-05
electricity,NL11,2015-03-14 15:00:00,6.029999894963112e-06
electricity,NL11,2015-03-14 18:00:00,3.700000002027082e-05
electricity,NL11,2015-03-14 21:00:00,-3.999999989900971e-06
electricity,NL11,2015-03-15 00:00:00,-6.000000009720452e-06
electricity,NL11,2015-03-15 03:00:00,-6.000000009720452e-06
electricity,NL11,2015-03-15 06:00:00,-5.29999999798747e-06
electricity,NL11,2015-03-15 09:00:00,2.610000001368462e-05
electricity,NL11,2015-03-15 12:00:00,4.7100000074351556e-05
electricity,NL11,2015-03-15 15:00:00,1.2059999789926223e-05
electricity,NL11,2015-03-15 18:00:00,1.9999999949504854e-05
electricity,NL11,2015-03-15 21:00:00,7.999999866115104e-06
electricity,NL11,2015-03-16 00:00:00,-3.000000017294724e-06
electricity,NL11,2015-03-16 03:00:00,1.2000000058520754e-05
electricity,NL11,2015-03-16 06:00:00,1.13999999484804e-05
electricity,NL11,2015-03-16 09:00:00,4.870000020673615e-05
electricity,NL11,2015-03-16 12:00:00,7.900000127847306e-06
electricity,NL11,2015-03-16 15:00:00,-2.8500000098574674e-05
electricity,NL11,2015-03-16 18:00:00,8.000000002539309e-05
