locs,techs,timesteps,storage
NL11,battery,2015-03-19 00:00:00,47.4773
NL11,battery,2015-03-19 03:00:00,47.4773
NL11,battery,2015-03-19 06:00:00,47.4773
NL11,battery,2015-03-19 09:00:00,47.4773
NL11,battery,2015-03-19 12:00:00,47.4773
NL11,battery,2015-03-19 15:00:00,47.4773
NL11,battery,2015-03-19 18:00:00,47.4773
NL11,battery,2015-03-19 21:00:00,47.4773
NL11,battery,2015-03-20 00:00:00,47.4773
NL11,battery,2015-03-20 03:00:00,47.4773
NL11,battery,2015-03-20 06:00:00,47.4773
NL11,battery,2015-03-20 09:00:00,0.0
NL11,battery,2015-03-20 12:00:00,0.0
NL11,battery,2015-03-20 15:00:00,0.0
NL11,battery,2015-03-20 18:00:00,0.0
NL11,battery,2015-03-20 21:00:00,0.0
NL11,battery,2015-03-21 00:00:00,0.0
NL11,battery,2015-03-21 03:00:00,0.0
NL11,battery,2015-03-21 06:00:00,0.0
NL11,battery,2015-03-21 09:00:00,0.0
NL11,battery,2015-03-21 12:00:00,0.0
NL11,battery,2015-03-21 15:00:00,0.0
NL11,battery,2015-03-21 18:00:00,0.0
NL11,battery,2015-03-21 21:00:00,16.439807
NL11,battery,2015-03-22 00:00:00,62.037006
NL11,battery,2015-03-22 03:00:00,62.037006
NL11,battery,2015-03-22 06:00:00,62.037006
NL11,battery,2015-03-22 09:00:00,62.037006
NL11,battery,2015-03-22 12:00:00,62.037006
NL11,battery,2015-03-22 15:00:00,62.037006
NL11,battery,2015-03-22 18:00:00,62.037006
NL11,battery,2015-03-22 21:00:00,62.037006
NL11,battery,2015-03-23 00:00:00,62.037006
NL11,battery,2015-03-23 03:00:00,62.037006
NL11,battery,2015-03-23 06:00:00,62.037006
NL11,battery,2015-03-23 09:00:00,62.037006
NL11,battery,2015-03-23 12:00:00,62.037006
NL11,battery,2015-03-23 15:00:00,62.037006
NL11,battery,2015-03-23 18:00:00,62.037006
NL11,battery,2015-03-23 21:00:00,62.037006
NL11,battery,2015-03-24 00:00:00,62.037006
NL11,battery,2015-03-24 03:00:00,62.037006
NL11,battery,2015-03-24 06:00:00,62.037006
